"","PUMA","HHINCOME","DENSITY","PROPTX99","RENT","farm","ownership","acreage","se.HHINCOME","se.DENSITY","se.PROPTX99","se.RENT","se.farm","se.ownership","se.acreage","AGE","sex","race","hisp","hs","ba","employed","se.AGE","se.sex","se.race","se.hisp","se.hs","se.ba","se.employed","treated","PScores","distance","weights","subclass"
"43",2400,76013.0260687685,357.4,29.9398530762167,107.505271570928,0.0260602659592559,0.816761895044723,0.0659796619392579,1593.47033608268,0,0.703781095730536,9.32949868119179,0.0048364357596164,0.0142947566243476,0.0084165312799793,42.9053448334409,0.586658290604095,0.797446432816055,0.175965228021325,0.854137661720262,0.202400760637034,0.943054093517607,0.553060975272478,0.0241268714537587,0.0217091328140223,0.020314285585934,0.0197887751549507,0.0182801636056791,0.0119884436017246,0,1.10021087789261e-05,NA,0.0741935483870968,7
"44",2501,59186.7236265628,3254.9,28.2403500231528,121.222943851442,0,0.797715588378471,0,1503.4279049967,0,0.861586827009972,13.2408777588915,0,0.0169476024328688,0,41.6506617513749,0.549314075058923,0.604142744908443,0.196153381277573,0.817761527769384,0.271257629781834,0.933492475977519,0.546106138944277,0.0237402676749246,0.0238480117088343,0.0199053364810826,0.019000837778929,0.0209709873627289,0.0123437818479272,0,0.241537640732321,NA,0.0741935483870968,7
"45",2502,46713.2869344893,3999.2,15.455506398646,181.302592119719,0.00800696774448964,0.665271138295872,0.0052752951888912,1764.17545388903,0,0.592953128306418,11.134893427278,0.00259841208233791,0.0170367818056385,0.00253111764229099,41.6119813760993,0.573243662700466,0.520993274702535,0.46534919813761,0.630750129332644,0.127304707708226,0.916213140196586,0.650892438231331,0.0276413108674674,0.028151073125578,0.0286681234288146,0.0284159661403998,0.0165576376464947,0.0148182220450392,0,0.276740737302405,NA,0.0741935483870968,7
"46",2503,85838.0835378541,3173.3,37.3397201621939,104.699354425652,0,0.860821373312703,0,1946.16606978869,0,0.617752834388338,8.93838231879562,0,0.0105475398058417,0,42.9356793027258,0.543676370264023,0.734357658510757,0.191923511622934,0.880105079879036,0.356406105222429,0.947500789117309,0.47638444778337,0.0192722030785086,0.0179072631607546,0.0174726100372786,0.0140508010480054,0.0183016763622733,0.00824862962801384,0,0.0740152908270764,NA,0.0741935483870968,7
"47",2504,75416.6846190704,2756.7,33.5102511344739,116.530905606133,0,0.820062572225824,0.00214211223540686,1616.2396588707,0,0.654961005151999,8.16063951947634,0,0.0111490525176881,0.00107060875423464,41.9227640576316,0.591016499027624,0.671514606553606,0.34108446080174,0.822232910227724,0.276656698939796,0.948599987453211,0.439778929524333,0.0190662109730542,0.0197556320713945,0.0200428884337646,0.0157426029841652,0.0167326746126253,0.00857607691248633,0,0.0187372223712058,NA,0.0741935483870968,7
"48",2505,66957.6295691656,4759.5,30.5727495344744,145.136086523991,0,0.776624237940974,0.00452771471571053,2028.89658317212,0,0.995744708263333,13.5268025442184,0,0.0189210534243965,0.00202558778064135,40.598506773399,0.581834975369458,0.627370689655172,0.365040024630542,0.783512931034483,0.248706896551724,0.933713054187192,0.556603092937227,0.0246956462139067,0.0254586425432554,0.0262401623257909,0.0230611982739125,0.0191869259277544,0.013360258952385,0,0.0145740390957802,NA,0.0741935483870968,7
"49",2506,84718.3367999461,4078.9,38.4083423083827,139.729682732005,0,0.844395081672949,0,1953.70267735528,0,0.580662868269699,10.4303638717906,0,0.0108024578990832,0,42.7967303832739,0.537547982307437,0.671537966914129,0.154332534440093,0.912228912141229,0.337863642563473,0.946201360067029,0.466791504965246,0.0192762132818424,0.0185352084887988,0.0155341506673076,0.0112144268045113,0.0173852097474534,0.00903265698158704,0,0.0476381413551508,NA,0.0741935483870968,7
"50",2507,108779.891840265,3853.7,43.6862597886414,67.3277009047366,0,0.921462784155706,0,2787.98777665118,0,0.717366690502242,8.68262747281597,0,0.0100265121922856,0,44.3719248361973,0.562368648782297,0.78192607244406,0.135539003585116,0.917774137717889,0.383468290270738,0.962433551736927,0.528114263983154,0.0226594948545886,0.0217939363410342,0.0191800274441926,0.0160565310342075,0.0218414195075782,0.00837751468860363,0,0.134946866885025,NA,0.0741935483870968,7
"51",2508,80684.9845003454,2123.6,39.1141870199537,88.4110212541147,0.00263339700085342,0.879302637460885,0.00481976673304344,2192.69614619778,0,0.736601025990942,9.16029193113063,0.00131641401839313,0.0110400150713878,0.00246699596552067,42.7151710072168,0.532663947285849,0.628333856291183,0.178224035142767,0.86568873548792,0.325384374019454,0.951443363664889,0.500744321427991,0.0235821935328762,0.0235208667661942,0.0202176536010969,0.0180819323052587,0.0216966743909324,0.0101254481588015,0,0.206449831077938,NA,0.0741935483870968,7
"52",2509,118244.998732255,1890.9,47.2356272349993,66.8470213961944,0.00195543755157691,0.926207647136211,0.0033667013502685,2480.15873358574,0,0.637086657995179,8.31146749504268,0.000913350577123757,0.00807465703576366,0.00119228651277248,43.4972299168975,0.556298533218292,0.89940284274102,0.134190091276509,0.939217110939558,0.409802007174969,0.960231142999864,0.42396523064447,0.0195338819931864,0.0116451993112126,0.0164392763864857,0.0100694856741954,0.0191520961565668,0.00814626430139812,0,0.0223083741935702,NA,0.0741935483870968,7
"53",2510,66028.0929830175,3862.1,29.5228902241026,126.430239034854,0,0.822898519808962,0,1659.72318039677,0,0.731224258850139,13.6390828557377,0,0.016578777577673,0,43.5202524550003,0.543110428301534,0.79853426619885,0.156891647808666,0.899080283181431,0.21205389582079,0.942990013909938,0.590617068075653,0.0267301796322859,0.0240915267892714,0.0220810513251762,0.0170465715872425,0.0210779937054749,0.0122825597880522,0,0.0158029425580588,NA,0.0741935483870968,7
"54",2511,77803.5536012325,226.7,31.24939933606,74.9693707242815,0.0212112319571557,0.865001925792785,0.0712726739174293,2068.28327856247,0,0.726139569091662,8.03739152412914,0.00400194289131774,0.0125501635852779,0.00767558282081556,44.7240775385105,0.557795645424511,0.955797476416033,0.0679656092027226,0.903037057676233,0.237809974923377,0.954065995303109,0.601014062170877,0.024487696432448,0.0102902974043706,0.0149650965986501,0.0173135138289998,0.0187503880582569,0.0139183665715197,0,9.97142949082339e-07,NA,0.0741935483870968,7
