State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
48,3702,4803702,G48003702,48,3501,4803501,G48003501,Texas,Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities,960,960,"106,591","108,277","101,390",95.12,93.64,"154,513","153,455","147,496",95.46,96.12,"405,427,465","159,045,262","151,353,456",37.33,95.16
48,3702,4803702,G48003702,48,3502,4803502,G48003502,Texas,"Central Texas COG--Bell County (North, East & South)--Temple & Belton Cities",960,960,"106,591","129,697","5,201",4.88,4.01,"154,513","156,780","7,017",4.54,4.48,"405,427,465","2,563,070,045","253,782,307",62.6,9.9
48,3703,4803703,G48003703,48,3400,4803400,G48003400,Texas,"Central Texas COG (West), Burnet & Llano Counties",960,960,"101,010","163,497","74,978",74.23,45.86,"103,890","176,700","75,388",72.57,42.66,"3,184,470,679","16,608,228,906","2,724,839,054",85.57,16.41
48,3703,4803703,G48003703,48,3501,4803501,G48003501,Texas,Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities,960,960,"101,010","108,277","6,887",6.82,6.36,"103,890","153,455","5,959",5.74,3.88,"3,184,470,679","159,045,262","7,089,586",0.22,4.46
48,3703,4803703,G48003703,48,3502,4803502,G48003502,Texas,"Central Texas COG--Bell County (North, East & South)--Temple & Belton Cities",960,960,"101,010","129,697","19,145",18.95,14.76,"103,890","156,780","22,543",21.7,14.38,"3,184,470,679","2,563,070,045","452,542,039",14.21,17.66
48,3801,4803801,G48003801,48,3801,4803801,G48003801,Texas,Heart of Texas COG--McLennan County--Waco City (Central),983,983,"102,610","102,610","102,610",100,100,"103,636","103,636","103,636",100,100,"110,901,207","110,721,513","110,688,274",99.81,99.97
48,3801,4803801,G48003801,48,3802,4803802,G48003802,Texas,"Heart of Texas COG--McLennan County--Waco (Outer), Hewitt & Robinson Cities",983,984,"102,610","110,907",0,0,0,"103,636","131,270",0,0,0,"110,901,207","2,575,358,502","212,933",0.19,0.01
48,3802,4803802,G48003802,48,3801,4803801,G48003801,Texas,Heart of Texas COG--McLennan County--Waco City (Central),984,983,"110,907","102,610",0,0,0,"131,270","103,636",0,0,0,"2,575,178,807","110,721,513","33,239",0,0.03
48,3802,4803802,G48003802,48,3802,4803802,G48003802,Texas,"Heart of Texas COG--McLennan County--Waco (Outer), Hewitt & Robinson Cities",984,984,"110,907","110,907","110,907",100,100,"131,270","131,270","131,270",100,100,"2,575,178,807","2,575,358,502","2,575,145,569",100,99.99
48,3900,4803900,G48003900,48,3601,4803601,G48003601,Texas,Brazos Valley COG (Outside Brazos County) & Milam County,981,981,"138,260","138,906","114,668",82.94,82.55,"153,009","149,353","124,588",81.43,83.42,"13,186,396,123","14,146,378,914","11,511,835,999",87.3,81.38
48,3900,4803900,G48003900,48,3700,4803700,G48003700,Texas,Heart of Texas COG (Outside McLennan County) & Navarro County,981,960,"138,260","153,145",2,0,0,"153,009","162,102",4,0,0,"13,186,396,123","14,243,251,823","19,751",0,0
48,3900,4803900,G48003900,48,4905,4804905,G48004905,Texas,Fort Bend County (West & South),981,993,"138,260","46,965",0,0,0,"153,009","131,489",0,0,0,"13,186,396,123","1,749,210,932","687,507",0.01,0.04
48,3900,4803900,G48003900,48,5000,4805000,G48005000,Texas,Houston-Galveston Area Council (West),981,981,"138,260","155,788","23,590",17.06,15.14,"153,009","170,478","28,417",18.57,16.67,"13,186,396,123","11,148,720,213","1,673,852,509",12.69,15.01
48,3900,4803900,G48003900,48,5100,4805100,G48005100,Texas,"Capital Area COG (East)--Bastrop, Caldwell, Fayette & Lee Counties",981,981,"138,260","127,388",0,0,0,"153,009","153,403",0,0,0,"13,186,396,123","7,801,708,944",357,0,0
48,4000,4804000,G48004000,48,3601,4803601,G48003601,Texas,Brazos Valley COG (Outside Brazos County) & Milam County,982,981,"152,415","138,906",0,0,0,"194,851","149,353",0,0,0,"1,516,005,508","14,146,378,914",39,0,0
48,4000,4804000,G48004000,48,3602,4803602,G48003602,Texas,Brazos Valley COG--Brazos County--College Station & Bryan Cities,982,982,"152,415","152,415","152,415",100,100,"194,851","194,851","194,851",100,100,"1,516,005,508","1,516,005,469","1,516,005,469",100,100
48,4100,4804100,G48004100,48,3900,4803900,G48003900,Texas,Deep East Texas COG (West) & Walker County,985,985,"162,101","162,101","162,101",100,100,"177,972","177,975","177,972",100,100,"11,227,508,717","11,227,529,066","11,227,508,717",100,100
48,4200,4804200,G48004200,48,4100,4804100,G48004100,Texas,Deep East Texas COG (East),988,987,"133,039","116,186",0,0,0,"136,472","117,068",0,0,0,"3,170,570,488","11,951,580,681","13,131",0,0
48,4200,4804200,G48004200,48,4200,4804200,G48004200,Texas,Orange & Hardin Counties,988,988,"133,039","133,039","133,039",100,100,"136,472","136,472","136,472",100,100,"3,170,570,488","3,170,520,126","3,170,520,126",100,100
48,4200,4804200,G48004200,48,4400,4804400,G48004400,Texas,Houston-Galveston Area Council--Liberty & Chambers Counties,988,981,"133,039","96,185",0,0,0,"136,472","110,739",0,0,0,"3,170,570,488","4,540,662,290","37,231",0,0
48,4300,4804300,G48004300,48,4301,4804301,G48004301,Texas,Jefferson County (North Central)--Beaumont City,989,989,"113,866","112,980","112,930",99.18,99.96,"118,296","116,114","116,076",98.12,99.97,"214,709,265","196,985,769","193,871,576",90.29,98.42
48,4300,4804300,G48004300,48,4302,4804302,G48004302,Texas,Jefferson County (Outside Beaumont City)--Port Arthur City,989,989,"113,866","139,071",936,0.82,0.67,"118,296","136,159","2,220",1.88,1.63,"214,709,265","2,072,170,729","20,837,689",9.71,1.01
48,4400,4804400,G48004400,48,4301,4804301,G48004301,Texas,Jefferson County (North Central)--Beaumont City,989,989,"138,185","112,980",50,0.04,0.04,"133,977","116,114",38,0.03,0.03,"2,054,467,797","196,985,769","3,114,193",0.15,1.58
48,4400,4804400,G48004400,48,4302,4804302,G48004302,Texas,Jefferson County (Outside Beaumont City)--Port Arthur City,989,989,"138,185","139,071","138,135",99.96,99.33,"133,977","136,159","133,939",99.97,98.37,"2,054,467,797","2,072,170,729","2,051,333,040",99.85,98.99
48,4400,4804400,G48004400,48,4400,4804400,G48004400,Texas,Houston-Galveston Area Council--Liberty & Chambers Counties,989,981,"138,185","96,185",0,0,0,"133,977","110,739",0,0,0,"2,054,467,797","4,540,662,290","20,565",0,0
48,4501,4804501,G48004501,48,4501,4804501,G48004501,Texas,Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East),981,981,"131,142","93,804","38,108",29.06,40.63,"188,827","136,891","53,343",28.25,38.97,"385,642,752","1,272,001,830","143,554,930",37.22,11.29
48,4501,4804501,G48004501,48,4502,4804502,G48004502,Texas,Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West),981,981,"131,142","73,601","15,968",12.18,21.7,"188,827","114,481","23,847",12.63,20.83,"385,642,752","912,418,802","104,476,515",27.09,11.45
48,4501,4804501,G48004501,48,4503,4804503,G48004503,Texas,Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North),981,981,"131,142","70,878","70,878",54.05,100,"188,827","103,838","103,838",54.99,100,"385,642,752","130,510,293","130,510,293",33.84,100
48,4501,4804501,G48004501,48,4504,4804504,G48004504,Texas,Houston-Galveston Area Council--Montgomery County (Southeast),981,981,"131,142","55,485","6,188",4.72,11.15,"188,827","100,536","7,799",4.13,7.76,"385,642,752","383,117,719","7,101,013",1.84,1.85
48,4502,4804502,G48004502,48,3900,4803900,G48003900,Texas,Deep East Texas COG (West) & Walker County,981,985,"177,767","162,101",0,0,0,"247,687","177,975",3,0,0,"5,443,721,071","11,227,529,066","20,350",0,0
48,4502,4804502,G48004502,48,4400,4804400,G48004400,Texas,Houston-Galveston Area Council--Liberty & Chambers Counties,981,981,"177,767","96,185","96,185",54.11,100,"247,687","110,739","110,739",44.71,100,"5,443,721,071","4,540,662,290","4,540,603,996",83.41,100
48,4502,4804502,G48004502,48,4501,4804501,G48004501,Texas,Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East),981,981,"177,767","93,804","32,285",18.16,34.42,"247,687","136,891","44,208",17.85,32.29,"5,443,721,071","1,272,001,830","527,078,551",9.68,41.44
48,4502,4804502,G48004502,48,4504,4804504,G48004504,Texas,Houston-Galveston Area Council--Montgomery County (Southeast),981,981,"177,767","55,485","49,297",27.73,88.85,"247,687","100,536","92,737",37.44,92.24,"5,443,721,071","383,117,719","376,012,380",6.91,98.15
